,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,solar,wind,other
0,2025-04-25 00:00:00,2025-05-01 04:36:13,3.0,304.41,1499.0,552.0,217.0,1845.0,1324.0,133.0
1,2025-04-25 01:00:00,2025-05-01 04:36:13,3.0,424.18,1956.0,749.0,219.0,991.0,961.0,134.0
2,2025-04-25 02:00:00,2025-05-01 04:36:13,3.0,620.52,3386.0,856.0,219.0,280.0,464.0,137.0
3,2025-04-25 03:00:00,2025-05-01 04:36:13,3.0,632.49,3972.0,820.0,217.0,2.0,811.0,138.0
4,2025-04-25 04:00:00,2025-05-01 04:36:13,3.0,650.81,4001.0,772.0,215.0,0.0,664.0,138.0
5,2025-04-25 05:00:00,2025-05-01 04:36:13,3.0,660.76,3961.0,736.0,215.0,0.0,575.0,139.0
6,2025-04-25 06:00:00,2025-05-01 04:36:13,3.0,671.77,3936.0,647.0,213.0,1.0,501.0,136.0
7,2025-04-25 07:00:00,2025-05-01 04:36:13,3.0,668.91,3799.0,622.0,213.0,0.0,501.0,137.0
8,2025-04-25 08:00:00,2025-05-01 04:36:13,3.0,664.88,3616.0,600.0,215.0,0.0,494.0,137.0
9,2025-04-25 09:00:00,2025-05-01 04:36:13,3.0,661.75,3155.0,600.0,213.0,0.0,408.0,134.0
10,2025-04-25 10:00:00,2025-05-01 04:36:13,3.0,670.84,3166.0,601.0,212.0,0.0,349.0,133.0
11,2025-04-25 11:00:00,2025-05-01 04:36:13,3.0,665.78,3261.0,605.0,219.0,0.0,398.0,134.0
12,2025-04-25 12:00:00,2025-05-01 04:36:13,3.0,637.59,3328.0,604.0,215.0,0.0,629.0,130.0
13,2025-04-25 13:00:00,2025-05-01 04:36:13,3.0,626.51,3568.0,600.0,215.0,3.0,791.0,132.0
14,2025-04-25 14:00:00,2025-05-01 04:36:13,3.0,549.73,3330.0,504.0,215.0,392.0,1075.0,134.0
15,2025-04-25 15:00:00,2025-05-01 04:36:13,3.0,427.3,2571.0,531.0,215.0,1122.0,1355.0,135.0
16,2025-04-25 16:00:00,2025-05-01 04:36:13,3.0,376.21,2430.0,466.0,219.0,1686.0,1482.0,140.0
17,2025-04-25 17:00:00,2025-05-01 04:36:13,3.0,310.51,2102.0,265.0,221.0,2201.0,1750.0,137.0
18,2025-04-25 18:00:00,2025-05-01 04:36:13,3.0,264.4,1779.0,261.0,220.0,2378.0,2099.0,136.0
19,2025-04-25 19:00:00,2025-05-01 04:36:13,3.0,246.56,1723.0,284.0,220.0,2410.0,2476.0,134.0
20,2025-04-25 20:00:00,2025-05-01 04:36:13,3.0,242.92,1682.0,290.0,224.0,2306.0,2581.0,135.0
21,2025-04-25 21:00:00,2025-05-01 04:36:13,3.0,228.01,1580.0,291.0,223.0,2304.0,2796.0,132.0
22,2025-04-25 22:00:00,2025-05-01 04:36:13,3.0,224.9,1580.0,320.0,215.0,2204.0,3030.0,132.0
23,2025-04-25 23:00:00,2025-05-01 04:36:13,3.0,220.55,1496.0,312.0,216.0,1986.0,3114.0,131.0
24,2025-04-26 00:00:00,2025-05-01 04:36:13,3.0,226.21,1447.0,441.0,216.0,1846.0,3064.0,131.0
25,2025-04-26 01:00:00,2025-05-01 04:36:13,3.0,307.81,1701.5,595.0,217.5,1418.5,2012.5,132.5
26,2025-04-26 02:00:00,2025-05-01 04:36:13,3.0,454.1,2543.75,725.5,218.25,849.25,1238.25,134.75
27,2025-04-26 03:00:00,2025-05-01 04:36:13,3.0,545.21,3257.875,772.75,217.625,425.625,1024.625,136.375
28,2025-04-26 04:00:00,2025-05-01 04:36:13,3.0,597.8,3629.4375,772.375,216.3125,212.8125,844.3125,137.1875
29,2025-04-26 05:00:00,2025-05-01 04:36:13,3.0,628.77,3795.21875,754.1875,215.65625,106.40625,709.65625,138.09375
30,2025-04-26 06:00:00,2025-05-01 04:36:13,3.0,649.72,3865.609375,700.59375,214.328125,53.703125,605.328125,137.046875
31,2025-04-26 07:00:00,2025-05-01 04:36:13,3.0,659.05,3832.3046875,661.296875,213.6640625,26.8515625,553.1640625,137.0234375
32,2025-04-26 08:00:00,2025-05-01 04:36:13,3.0,661.86,3724.15234375,630.6484375,214.33203125,13.42578125,523.58203125,137.01171875
33,2025-04-26 09:00:00,2025-05-01 04:36:13,3.0,661.81,3439.576171875,615.32421875,213.666015625,6.712890625,465.791015625,135.505859375
34,2025-04-26 10:00:00,2025-05-01 04:36:13,3.0,666.13,3302.7880859375,608.162109375,212.8330078125,3.3564453125,407.3955078125,134.2529296875
35,2025-04-26 11:00:00,2025-05-01 04:36:13,3.0,665.95,3281.89404296875,606.5810546875,215.91650390625,1.67822265625,402.69775390625,134.12646484375
36,2025-04-26 12:00:00,2025-05-01 04:36:13,3.0,651.38,3304.947021484375,605.29052734375,215.458251953125,0.839111328125,515.848876953125,132.063232421875
37,2025-04-26 13:00:00,2025-05-01 04:36:13,3.0,638.29,3436.4735107421875,602.645263671875,215.2291259765625,1.9195556640625,653.4244384765625,132.0316162109375
38,2025-04-26 14:00:00,2025-05-01 04:36:13,3.0,591.49,3383.2367553710938,553.3226318359375,215.11456298828125,196.95977783203125,864.2122192382812,133.01580810546875
39,2025-04-26 15:00:00,2025-05-01 04:36:13,3.0,505.15,2977.118377685547,542.1613159179688,215.05728149414065,659.4798889160156,1109.6061096191406,134.00790405273438
40,2025-04-26 16:00:00,2025-05-01 04:36:13,3.0,436.48,2703.559188842773,504.0806579589844,217.0286407470703,1172.7399444580078,1295.8030548095703,137.0039520263672
41,2025-04-26 17:00:00,2025-05-01 04:36:13,3.0,370.29,2402.7795944213867,384.5403289794922,219.0143203735352,1686.869972229004,1522.9015274047852,137.0019760131836
42,2025-04-26 18:00:00,2025-05-01 04:36:13,3.0,315.27,2090.8897972106934,322.7701644897461,219.5071601867676,2032.434986114502,1810.9507637023928,136.5009880065918
43,2025-04-26 19:00:00,2025-05-01 04:36:13,3.0,279.34,1906.944898605347,303.38508224487305,219.7535800933838,2221.217493057251,2143.4753818511963,135.2504940032959
44,2025-04-26 20:00:00,2025-05-01 04:36:13,3.0,260.76,1794.472449302673,296.6925411224365,221.8767900466919,2263.608746528625,2362.237690925598,135.12524700164795
45,2025-04-26 21:00:00,2025-05-01 04:36:13,3.0,244.1,1687.236224651337,293.84627056121826,222.43839502334595,2283.8043732643127,2579.118845462799,133.56262350082395
46,2025-04-26 22:00:00,2025-05-01 04:36:13,3.0,234.31,1633.6181123256683,306.9231352806092,218.71919751167297,2243.9021866321564,2804.5594227313995,132.781311750412
47,2025-04-26 23:00:00,2025-05-01 04:36:13,3.0,227.47,1564.8090561628342,309.46156764030457,217.3595987558365,2114.951093316078,2959.2797113657,131.890655875206
