,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind
0,2025-04-28 00:00:00,2025-05-01 22:23:48,3.0,249.42,430.0,35.0,55.0,507.0,46.0,638.0
1,2025-04-28 01:00:00,2025-05-01 22:23:48,3.0,304.27,647.0,45.0,54.0,511.0,21.0,723.0
2,2025-04-28 02:00:00,2025-05-01 22:23:48,3.0,325.04,726.0,80.0,54.0,512.0,6.0,746.0
3,2025-04-28 03:00:00,2025-05-01 22:23:48,3.0,303.9,728.0,121.0,53.0,512.0,0.0,933.0
4,2025-04-28 04:00:00,2025-05-01 22:23:48,3.0,297.31,729.0,63.0,53.0,517.0,0.0,945.0
5,2025-04-28 05:00:00,2025-05-01 22:23:48,3.0,318.27,722.0,54.0,54.0,510.0,0.0,779.0
6,2025-04-28 06:00:00,2025-05-01 22:23:48,3.0,290.61,651.0,56.0,55.0,513.0,0.0,854.0
7,2025-04-28 07:00:00,2025-05-01 22:23:48,3.0,290.45,651.0,38.0,55.0,505.0,0.0,850.0
8,2025-04-28 08:00:00,2025-05-01 22:23:48,3.0,293.1,655.0,48.0,55.0,511.0,0.0,839.0
9,2025-04-28 09:00:00,2025-05-01 22:23:48,3.0,314.28,695.0,56.0,55.0,508.0,0.0,766.0
10,2025-04-28 10:00:00,2025-05-01 22:23:48,3.0,286.26,699.0,30.0,54.0,509.0,0.0,964.0
11,2025-04-28 11:00:00,2025-05-01 22:23:48,3.0,282.33,702.0,21.0,54.0,515.0,0.0,990.0
12,2025-04-28 12:00:00,2025-05-01 22:23:48,3.0,290.87,728.0,57.0,53.0,518.0,0.0,991.0
13,2025-04-28 13:00:00,2025-05-01 22:23:48,3.0,291.22,726.0,69.0,54.0,516.0,0.0,996.0
14,2025-04-28 14:00:00,2025-05-01 22:23:48,3.0,293.79,727.0,80.0,53.0,516.0,2.0,981.0
15,2025-04-28 15:00:00,2025-05-01 22:23:48,3.0,299.09,729.0,74.0,54.0,492.0,7.0,957.0
16,2025-04-28 16:00:00,2025-05-01 22:23:48,3.0,272.34,623.0,22.0,53.0,487.0,10.0,929.0
17,2025-04-28 17:00:00,2025-05-01 22:23:48,3.0,248.76,538.0,18.0,54.0,488.0,16.0,927.0
18,2025-04-28 18:00:00,2025-05-01 22:23:48,3.0,262.98,580.0,19.0,55.0,483.0,32.0,898.0
19,2025-04-28 19:00:00,2025-05-01 22:23:48,3.0,281.52,617.0,21.0,54.0,485.0,46.0,816.0
20,2025-04-28 20:00:00,2025-05-01 22:23:48,3.0,240.43,461.0,21.0,53.0,485.0,44.0,787.0
21,2025-04-28 21:00:00,2025-05-01 22:23:48,3.0,283.47,458.0,24.0,53.0,485.0,36.0,498.0
22,2025-04-28 22:00:00,2025-05-01 22:23:48,3.0,345.56,530.0,23.0,54.0,475.0,38.0,320.0
23,2025-04-28 23:00:00,2025-05-01 22:23:48,3.0,373.82,540.0,17.0,53.0,499.0,35.0,197.0
24,2025-04-29 00:00:00,2025-05-01 22:23:48,3.0,438.03,703.0,20.0,54.0,518.0,65.0,96.0
25,2025-04-29 01:00:00,2025-05-01 22:23:48,3.0,360.61,675.0,32.5,54.0,514.5,43.0,409.5
26,2025-04-29 02:00:00,2025-05-01 22:23:48,3.0,341.0,700.5,56.25,54.0,513.25,24.5,577.75
27,2025-04-29 03:00:00,2025-05-01 22:23:48,3.0,320.62,714.25,88.625,53.5,512.625,12.25,755.375
28,2025-04-29 04:00:00,2025-05-01 22:23:48,3.0,308.52,721.625,75.8125,53.25,514.8125,6.125,850.1875
29,2025-04-29 05:00:00,2025-05-01 22:23:48,3.0,313.28,721.8125,64.90625,53.625,512.40625,3.0625,814.59375
30,2025-04-29 06:00:00,2025-05-01 22:23:48,3.0,302.06,686.40625,60.453125,54.3125,512.703125,1.53125,834.296875
31,2025-04-29 07:00:00,2025-05-01 22:23:48,3.0,296.32,668.703125,49.2265625,54.65625,508.8515625,0.765625,842.1484375
32,2025-04-29 08:00:00,2025-05-01 22:23:48,3.0,294.72,661.8515625,48.61328125,54.828125,509.92578125,0.3828125,840.57421875
33,2025-04-29 09:00:00,2025-05-01 22:23:48,3.0,304.42,678.42578125,52.306640625,54.9140625,508.962890625,0.19140625,803.287109375
34,2025-04-29 10:00:00,2025-05-01 22:23:48,3.0,295.01,688.712890625,41.1533203125,54.45703125,508.9814453125,0.095703125,883.6435546875
35,2025-04-29 11:00:00,2025-05-01 22:23:48,3.0,288.52,695.3564453125,31.07666015625,54.228515625,511.99072265625,0.0478515625,936.82177734375
36,2025-04-29 12:00:00,2025-05-01 22:23:48,3.0,289.73,711.67822265625,44.038330078125,53.6142578125,514.995361328125,0.02392578125,963.910888671875
37,2025-04-29 13:00:00,2025-05-01 22:23:48,3.0,290.48,718.839111328125,56.5191650390625,53.80712890625,515.4976806640625,0.011962890625,979.9554443359376
38,2025-04-29 14:00:00,2025-05-01 22:23:48,3.0,292.15,722.9195556640625,68.25958251953125,53.403564453125,515.7488403320312,1.0059814453125,980.4777221679688
39,2025-04-29 15:00:00,2025-05-01 22:23:48,3.0,295.6,725.9597778320312,71.12979125976562,53.7017822265625,503.8744201660156,4.00299072265625,968.7388610839844
40,2025-04-29 16:00:00,2025-05-01 22:23:48,3.0,284.5,674.4798889160156,46.56489562988281,53.35089111328125,495.4372100830078,7.001495361328125,948.8694305419922
41,2025-04-29 17:00:00,2025-05-01 22:23:48,3.0,267.4,606.2399444580078,32.282447814941406,53.67544555664063,491.7186050415039,11.500747680664062,937.934715270996
42,2025-04-29 18:00:00,2025-05-01 22:23:48,3.0,265.22,593.1199722290039,25.641223907470703,54.33772277832031,487.359302520752,21.75037384033203,917.967357635498
43,2025-04-29 19:00:00,2025-05-01 22:23:48,3.0,273.25,605.059986114502,23.32061195373535,54.16886138916016,486.179651260376,33.875186920166016,866.983678817749
44,2025-04-29 20:00:00,2025-05-01 22:23:48,3.0,257.76,533.029993057251,22.16030597686768,53.58443069458008,485.589825630188,38.93759346008301,826.9918394088745
45,2025-04-29 21:00:00,2025-05-01 22:23:48,3.0,269.12,495.5149965286255,23.08015298843384,53.29221534729004,485.294912815094,37.468796730041504,662.4959197044373
46,2025-04-29 22:00:00,2025-05-01 22:23:48,3.0,303.55,512.7574982643127,23.04007649421692,53.64610767364502,480.147456407547,37.73439836502075,491.2479598522186
47,2025-04-29 23:00:00,2025-05-01 22:23:48,3.0,335.61,526.3787491321564,20.02003824710846,53.32305383682251,489.5737282037735,36.367199182510376,344.1239799261093
