,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,other
0,2025-04-28 00:00:00,2025-05-01 22:23:48,3.0,688.8,1373.0,625.0,0.0,61.0,25.0,68.0
1,2025-04-28 01:00:00,2025-05-01 22:23:48,3.0,699.33,1420.0,622.0,0.0,61.0,0.0,70.0
2,2025-04-28 02:00:00,2025-05-01 22:23:48,3.0,700.44,1423.0,609.0,0.0,62.0,0.0,70.0
3,2025-04-28 03:00:00,2025-05-01 22:23:48,3.0,691.34,1230.0,610.0,0.0,54.0,0.0,69.0
4,2025-04-28 04:00:00,2025-05-01 22:23:48,3.0,694.38,1017.0,627.0,0.0,0.0,0.0,68.0
5,2025-04-28 05:00:00,2025-05-01 22:23:48,3.0,690.51,949.0,616.0,0.0,0.0,0.0,67.0
6,2025-04-28 06:00:00,2025-05-01 22:23:48,3.0,678.84,835.0,632.0,0.0,0.0,0.0,70.0
7,2025-04-28 07:00:00,2025-05-01 22:23:48,3.0,675.36,789.0,625.0,0.0,0.0,0.0,70.0
8,2025-04-28 08:00:00,2025-05-01 22:23:48,3.0,672.2,768.0,634.0,0.0,0.0,0.0,72.0
9,2025-04-28 09:00:00,2025-05-01 22:23:48,3.0,673.4,774.0,629.0,0.0,0.0,0.0,71.0
10,2025-04-28 10:00:00,2025-05-01 22:23:48,3.0,675.3,810.0,642.0,0.0,0.0,0.0,71.0
11,2025-04-28 11:00:00,2025-05-01 22:23:48,3.0,690.22,973.0,631.0,0.0,0.0,1.0,72.0
12,2025-04-28 12:00:00,2025-05-01 22:23:48,3.0,666.65,964.0,611.0,0.0,0.0,68.0,71.0
13,2025-04-28 13:00:00,2025-05-01 22:23:48,3.0,612.99,886.0,567.0,0.0,0.0,211.0,71.0
14,2025-04-28 14:00:00,2025-05-01 22:23:48,3.0,579.95,776.0,591.0,0.0,0.0,265.0,72.0
15,2025-04-28 15:00:00,2025-05-01 22:23:48,3.0,584.94,844.0,614.0,0.0,1.0,274.0,73.0
16,2025-04-28 16:00:00,2025-05-01 22:23:48,3.0,582.56,828.0,610.0,0.0,0.0,276.0,70.0
17,2025-04-28 17:00:00,2025-05-01 22:23:48,3.0,611.22,1077.0,621.0,0.0,0.0,275.0,69.0
18,2025-04-28 18:00:00,2025-05-01 22:23:48,3.0,610.89,1226.0,612.0,0.0,54.0,277.0,68.0
19,2025-04-28 19:00:00,2025-05-01 22:23:48,3.0,624.4,1397.0,609.0,0.0,61.0,276.0,68.0
20,2025-04-28 20:00:00,2025-05-01 22:23:48,3.0,632.9,1488.0,595.0,0.0,63.0,272.0,73.0
21,2025-04-28 21:00:00,2025-05-01 22:23:48,3.0,629.73,1448.0,599.0,0.0,68.0,266.0,70.0
22,2025-04-28 22:00:00,2025-05-01 22:23:48,3.0,630.52,1476.0,604.0,0.0,87.0,251.0,71.0
23,2025-04-28 23:00:00,2025-05-01 22:23:48,3.0,660.47,1560.0,617.0,0.0,87.0,148.0,70.0
24,2025-04-29 00:00:00,2025-05-01 22:23:48,3.0,688.76,1545.0,676.0,0.0,75.0,30.0,69.0
25,2025-04-29 01:00:00,2025-05-01 22:23:48,3.0,693.79,1482.5,649.0,0.0,68.0,15.0,69.5
26,2025-04-29 02:00:00,2025-05-01 22:23:48,3.0,697.03,1452.75,629.0,0.0,65.0,7.5,69.75
27,2025-04-29 03:00:00,2025-05-01 22:23:48,3.0,694.36,1341.375,619.5,0.0,59.5,3.75,69.375
28,2025-04-29 04:00:00,2025-05-01 22:23:48,3.0,694.37,1179.1875,623.25,0.0,29.75,1.875,68.6875
29,2025-04-29 05:00:00,2025-05-01 22:23:48,3.0,692.59,1064.09375,619.625,0.0,14.875,0.9375,67.84375
30,2025-04-29 06:00:00,2025-05-01 22:23:48,3.0,686.19,949.546875,625.8125,0.0,7.4375,0.46875,68.921875
31,2025-04-29 07:00:00,2025-05-01 22:23:48,3.0,681.07,869.2734375,625.40625,0.0,3.71875,0.234375,69.4609375
32,2025-04-29 08:00:00,2025-05-01 22:23:48,3.0,676.77,818.63671875,629.703125,0.0,1.859375,0.1171875,70.73046875
33,2025-04-29 09:00:00,2025-05-01 22:23:48,3.0,675.11,796.318359375,629.3515625,0.0,0.9296875,0.05859375,70.865234375
34,2025-04-29 10:00:00,2025-05-01 22:23:48,3.0,675.21,803.1591796875,635.67578125,0.0,0.46484375,0.029296875,70.9326171875
35,2025-04-29 11:00:00,2025-05-01 22:23:48,3.0,683.1,888.07958984375,633.337890625,0.0,0.232421875,0.5146484375,71.46630859375
36,2025-04-29 12:00:00,2025-05-01 22:23:48,3.0,674.58,926.039794921875,622.1689453125,0.0,0.1162109375,34.25732421875,71.233154296875
37,2025-04-29 13:00:00,2025-05-01 22:23:48,3.0,643.05,906.0198974609376,594.58447265625,0.0,0.05810546875,122.628662109375,71.1165771484375
38,2025-04-29 14:00:00,2025-05-01 22:23:48,3.0,611.41,841.0099487304688,592.792236328125,0.0,0.029052734375,193.8143310546875,71.55828857421875
39,2025-04-29 15:00:00,2025-05-01 22:23:48,3.0,597.77,842.5049743652344,603.3961181640625,0.0,0.5145263671875,233.9071655273437,72.27914428710938
40,2025-04-29 16:00:00,2025-05-01 22:23:48,3.0,590.1,835.2524871826172,606.6980590820312,0.0,0.25726318359375,254.95358276367188,71.13957214355469
41,2025-04-29 17:00:00,2025-05-01 22:23:48,3.0,601.41,956.1262435913086,613.8490295410156,0.0,0.128631591796875,264.97679138183594,70.06978607177734
42,2025-04-29 18:00:00,2025-05-01 22:23:48,3.0,606.53,1091.0631217956543,612.9245147705078,0.0,27.06431579589844,270.988395690918,69.03489303588867
43,2025-04-29 19:00:00,2025-05-01 22:23:48,3.0,616.14,1244.0315608978271,610.9622573852539,0.0,44.03215789794922,273.494197845459,68.51744651794434
44,2025-04-29 20:00:00,2025-05-01 22:23:48,3.0,624.97,1366.0157804489136,602.981128692627,0.0,53.51607894897461,272.7470989227295,70.75872325897217
45,2025-04-29 21:00:00,2025-05-01 22:23:48,3.0,627.39,1407.0078902244568,600.9905643463135,0.0,60.758039474487305,269.37354946136475,70.37936162948608
46,2025-04-29 22:00:00,2025-05-01 22:23:48,3.0,628.98,1441.5039451122284,602.4952821731567,0.0,73.87901973724365,260.1867747306824,70.68968081474304
47,2025-04-29 23:00:00,2025-05-01 22:23:48,3.0,644.83,1500.7519725561142,609.7476410865784,0.0,80.43950986862183,204.0933873653412,70.34484040737152
