datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean
2025-05-06 00:00:00,2025-05-08 22:24:46,3.0,2.8332098004359376,291.2411226921231,284.7470840507414,0.1364600348347186,0.0235872207611425
2025-05-06 01:00:00,2025-05-08 22:24:46,3.0,2.8332098004359376,291.2411226921231,284.7470840507414,0.1364600348347186,0.0235872207611425
2025-05-06 02:00:00,2025-05-08 22:24:46,3.0,2.8332098004359376,291.2411226921231,284.7470840507414,0.1364600348347186,0.0235872207611425
2025-05-06 03:00:00,2025-05-08 22:24:46,3.0,2.8332098004359376,291.2411226921231,284.7470840507414,0.1364600348347186,0.0235872207611425
2025-05-06 04:00:00,2025-05-08 22:24:46,3.0,2.175175772108175,289.9322617787791,283.7296541856135,0.1364600348347186,0.0235872207611425
2025-05-06 05:00:00,2025-05-08 22:24:46,3.0,2.175175772108175,289.9322617787791,283.7296541856135,0.1364600348347186,0.0235872207611425
2025-05-06 06:00:00,2025-05-08 22:24:46,3.0,2.175175772108175,289.9322617787791,283.7296541856135,0.1364600348347186,0.0235872207611425
2025-05-06 07:00:00,2025-05-08 22:24:46,3.0,2.033184992931849,289.22579537714955,283.2203475452503,0.0683543186741174,0.0360632393289878
2025-05-06 08:00:00,2025-05-08 22:24:46,3.0,2.033184992931849,289.22579537714955,283.2203475452503,0.0683543186741174,0.0360632393289878
2025-05-06 09:00:00,2025-05-08 22:24:46,3.0,2.033184992931849,289.22579537714955,283.2203475452503,0.0683543186741174,0.0360632393289878
2025-05-06 10:00:00,2025-05-08 22:24:46,3.0,1.9843150881166047,290.8781146216563,284.0345043347827,0.0,0.0420394756332788
2025-05-06 11:00:00,2025-05-08 22:24:46,3.0,1.9843150881166047,290.8781146216563,284.0345043347827,0.0,0.0420394756332788
2025-05-06 12:00:00,2025-05-08 22:24:46,3.0,1.9843150881166047,290.8781146216563,284.0345043347827,0.0,0.0420394756332788
2025-05-06 13:00:00,2025-05-08 22:24:46,3.0,2.439629137031993,296.2643220095368,284.7408730276586,22.23277448737774,0.0812804116491851
2025-05-06 14:00:00,2025-05-08 22:24:46,3.0,2.439629137031993,296.2643220095368,284.7408730276586,22.23277448737774,0.0812804116491851
2025-05-06 15:00:00,2025-05-08 22:24:46,3.0,2.439629137031993,296.2643220095368,284.7408730276586,22.23277448737774,0.0812804116491851
2025-05-06 16:00:00,2025-05-08 22:24:46,3.0,3.4152930275444526,298.82300359929616,284.91658602105906,502.77739910780986,0.1350216458679379
2025-05-06 17:00:00,2025-05-08 22:24:46,3.0,3.4152930275444526,298.82300359929616,284.91658602105906,502.77739910780986,0.1350216458679379
2025-05-06 18:00:00,2025-05-08 22:24:46,3.0,3.4152930275444526,298.82300359929616,284.91658602105906,502.77739910780986,0.1350216458679379
2025-05-06 19:00:00,2025-05-08 22:24:46,3.0,3.6425766898610914,299.19488641102475,285.4321219547869,693.9939299749094,0.1807471526407607
2025-05-06 20:00:00,2025-05-08 22:24:46,3.0,3.6425766898610914,299.19488641102475,285.4321219547869,693.9939299749094,0.1807471526407607
2025-05-06 21:00:00,2025-05-08 22:24:46,3.0,3.6425766898610914,299.19488641102475,285.4321219547869,693.9939299749094,0.1807471526407607
2025-05-06 22:00:00,2025-05-08 22:24:46,3.0,2.368820953080598,295.03306024306,287.49582237117386,762.4641377864622,0.1837090358480173
2025-05-06 23:00:00,2025-05-08 22:24:46,3.0,2.368820953080598,295.03306024306,287.49582237117386,762.4641377864622,0.1837090358480173
2025-05-07 00:00:00,2025-05-08 22:24:46,3.0,2.368820953080598,295.03306024306,287.49582237117386,762.4641377864622,0.1837090358480173
