,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
0,2025-04-19 00:00:00,2025-04-24 22:29:03,3.0,316.71,12749.0,32605.0,27440.0,206.0,4441.0,781.0,8519.0,894.0
1,2025-04-19 01:00:00,2025-04-24 22:29:03,3.0,325.34,13634.0,33245.0,27449.0,205.0,4440.0,25.0,8500.0,889.0
2,2025-04-19 02:00:00,2025-04-24 22:29:03,3.0,326.61,13706.0,32624.0,27446.0,207.0,4057.0,13.0,8322.0,891.0
3,2025-04-19 03:00:00,2025-04-24 22:29:03,3.0,327.43,13466.0,31750.0,27449.0,210.0,2844.0,13.0,8273.0,752.0
4,2025-04-19 04:00:00,2025-04-24 22:29:03,3.0,324.31,13091.0,29153.0,27458.0,211.0,1560.0,13.0,8339.0,725.0
5,2025-04-19 05:00:00,2025-04-24 22:29:03,3.0,318.41,12310.0,26909.0,27465.0,211.0,1080.0,13.0,7830.0,739.0
6,2025-04-19 06:00:00,2025-04-24 22:29:03,3.0,306.66,11320.0,24842.0,27479.0,212.0,1045.0,13.0,7989.0,813.0
7,2025-04-19 07:00:00,2025-04-24 22:29:03,3.0,308.49,11053.0,25060.0,27474.0,214.0,936.0,13.0,7470.0,926.0
8,2025-04-19 08:00:00,2025-04-24 22:29:03,3.0,310.53,10789.0,24768.0,27478.0,215.0,951.0,13.0,6489.0,1048.0
9,2025-04-19 09:00:00,2025-04-24 22:29:03,3.0,315.73,11009.0,24903.0,27477.0,218.0,910.0,13.0,5800.0,1088.0
10,2025-04-19 10:00:00,2025-04-24 22:29:03,3.0,316.3,11204.0,24583.0,27479.0,218.0,833.0,13.0,5880.0,1088.0
11,2025-04-19 11:00:00,2025-04-24 22:29:03,3.0,321.0,11372.0,25268.0,27486.0,215.0,863.0,25.0,5397.0,1091.0
12,2025-04-19 12:00:00,2025-04-24 22:29:03,3.0,324.66,11765.0,25838.0,27492.0,214.0,786.0,858.0,4798.0,1085.0
13,2025-04-19 13:00:00,2025-04-24 22:29:03,3.0,322.94,12031.0,27202.0,27491.0,215.0,822.0,3306.0,4094.0,1048.0
14,2025-04-19 14:00:00,2025-04-24 22:29:03,3.0,319.04,12364.0,27665.0,27481.0,216.0,768.0,5625.0,3763.0,972.0
15,2025-04-19 15:00:00,2025-04-24 22:29:03,3.0,316.61,12367.0,28427.0,27461.0,267.0,903.0,7028.0,3687.0,1099.0
16,2025-04-19 16:00:00,2025-04-24 22:29:03,3.0,324.48,12943.0,28516.0,27449.0,715.0,973.0,7286.0,2833.0,1140.0
17,2025-04-19 17:00:00,2025-04-24 22:29:03,3.0,327.65,13477.0,27846.0,27430.0,621.0,994.0,7579.0,2177.0,1169.0
18,2025-04-19 18:00:00,2025-04-24 22:29:03,3.0,312.47,12767.0,26344.0,27415.0,630.0,1002.0,9216.0,2727.0,1147.0
19,2025-04-19 19:00:00,2025-04-24 22:29:03,3.0,314.66,12983.0,27154.0,27407.0,673.0,941.0,9286.0,3013.0,1142.0
20,2025-04-19 20:00:00,2025-04-24 22:29:03,3.0,326.45,13635.0,29067.0,27394.0,678.0,1597.0,7664.0,3000.0,1332.0
21,2025-04-19 21:00:00,2025-04-24 22:29:03,3.0,329.43,13433.0,30945.0,27380.0,689.0,2504.0,6527.0,3337.0,1606.0
22,2025-04-19 22:00:00,2025-04-24 22:29:03,3.0,337.17,13177.0,33345.0,27375.0,668.0,3495.0,4426.0,3046.0,1695.0
23,2025-04-19 23:00:00,2025-04-24 22:29:03,3.0,339.78,12861.0,34000.0,27370.0,666.0,4405.0,2670.0,2879.0,1681.0
24,2025-04-20 00:00:00,2025-04-24 22:29:03,3.0,352.35,13402.0,35111.0,27377.0,687.0,4611.0,693.0,2513.0,1718.0
25,2025-04-20 01:00:00,2025-04-24 22:29:03,3.0,338.67,13518.0,34178.0,27413.0,446.0,4525.5,359.0,5506.5,1303.5
26,2025-04-20 02:00:00,2025-04-24 22:29:03,3.0,332.64,13612.0,33401.0,27429.5,326.5,4291.25,186.0,6914.25,1097.25
27,2025-04-20 03:00:00,2025-04-24 22:29:03,3.0,330.07,13539.0,32575.5,27439.25,268.25,3567.625,99.5,7593.625,924.625
28,2025-04-20 04:00:00,2025-04-24 22:29:03,3.0,327.29,13315.0,30864.25,27448.625,239.625,2563.8125,56.25,7966.3125,824.8125
29,2025-04-20 05:00:00,2025-04-24 22:29:03,3.0,323.03,12812.5,28886.625,27456.8125,225.3125,1821.90625,34.625,7898.15625,781.90625
30,2025-04-20 06:00:00,2025-04-24 22:29:03,3.0,315.18,12066.25,26864.3125,27467.90625,218.65625,1433.453125,23.8125,7943.578125,797.453125
31,2025-04-20 07:00:00,2025-04-24 22:29:03,3.0,311.92,11559.625,25962.15625,27470.953125,216.328125,1184.7265625,18.40625,7706.7890625,861.7265625
32,2025-04-20 08:00:00,2025-04-24 22:29:03,3.0,311.24,11174.3125,25365.078125,27474.4765625,215.6640625,1067.86328125,15.703125,7097.89453125,954.86328125
33,2025-04-20 09:00:00,2025-04-24 22:29:03,3.0,313.46,11091.65625,25134.0390625,27475.73828125,216.83203125,988.931640625,14.3515625,6448.947265625,1021.431640625
34,2025-04-20 10:00:00,2025-04-24 22:29:03,3.0,314.87,11147.828125,24858.51953125,27477.369140625,217.416015625,910.9658203125,13.67578125,6164.4736328125,1054.7158203125
